[21:38:41.255] step=0 screen=EVENT action_id=6 log_prob=-2.0261 value=0.1500 valid_actions=8
[21:38:42.189] step=1 screen=EVENT action_id=4 log_prob=-2.1747 value=0.1221 valid_actions=8
[21:38:43.083] step=2 screen=MAP action_id=1 log_prob=-2.1350 value=0.1300 valid_actions=8
[21:38:48.496] step=3 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0064 valid_actions=1
[21:39:00.615] step=4 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0046 valid_actions=1
[21:39:08.149] step=5 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0734 valid_actions=1
[21:39:18.170] step=6 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0517 valid_actions=1
[21:39:25.183] step=7 screen=COMBAT action_id=15 log_prob=0.0000 value=0.1224 valid_actions=1
[21:39:32.067] step=8 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0593 valid_actions=1
[21:39:38.067] step=9 screen=COMBAT action_id=15 log_prob=0.0000 value=0.1117 valid_actions=1
[21:39:45.032] step=10 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0148 valid_actions=1
[21:39:50.175] step=11 screen=COMBAT action_id=15 log_prob=0.0000 value=0.1104 valid_actions=1
[21:39:57.072] step=12 screen=COMBAT action_id=15 log_prob=0.0000 value=0.0378 valid_actions=1
